candidate,refined,capacitance_f,amplitude_peak_v,time_s,input_v,output_v,capacitor_current_a,supply_delivered_current_a,input_delivered_current_a
F75S,False,1e-12,,2.098e-06,0.47000000000000003,0.3795083956841262,-5.4369781225677995e-08,7.527844209919106e-05,8.255167206334719e-07
F75S,False,1e-12,,2.1000000000000002e-06,0.47000000000000003,0.37940579778192146,-4.822812097914785e-08,7.527864952794459e-05,8.264451524227449e-07
F75S,False,1e-12,,2.102e-06,0.47000000000000003,0.3793148057693366,-4.2763891605813224e-08,7.52788313912786e-05,8.272684845633977e-07
F75S,False,1e-12,,2.104e-06,0.47000000000000003,0.37923410640773014,-3.7935470000733126e-08,7.527899475260754e-05,8.279987511884602e-07
F75S,False,1e-12,,2.1060000000000002e-06,0.47000000000000003,0.37916253510946585,-3.363582826373782e-08,7.527913754185035e-05,8.286463452318606e-07
F75S,False,1e-12,,2.108e-06,0.47000000000000003,0.37909905915247605,-2.984012872611019e-08,7.527926625489481e-05,8.292207554815479e-07
F75S,False,1e-12,,2.11e-06,0.47000000000000003,0.37904276267763154,-2.6456346118369268e-08,7.527937832015669e-05,8.29730130078189e-07
F75S,False,1e-12,,2.1120000000000003e-06,0.47000000000000003,0.3789928335095072,-2.347282200594856e-08,7.527947978794755e-05,8.301819554216924e-07
F75S,False,1e-12,,2.114e-06,0.47000000000000003,0.3789485513531848,-2.0809334316416793e-08,7.527956769309342e-05,8.305826155734448e-07
F75S,False,1e-12,,2.116e-06,0.47000000000000003,0.37890927744941116,-1.8464569457145894e-08,7.527964773546861e-05,8.309380221049378e-07
F75S,False,1e-12,,2.1180000000000003e-06,0.47000000000000003,0.378874445285356,-1.636759459807704e-08,7.527971664036085e-05,8.312531729472588e-07
F75S,False,1e-12,,2.12e-06,0.47000000000000003,0.3788435524711158,-1.4525219642191824e-08,7.527977983258801e-05,8.315327398649793e-07
F75S,False,1e-12,,2.122e-06,0.47000000000000003,0.3788161534271497,-1.2873824323971005e-08,7.527983379452384e-05,8.317806319330656e-07
F75S,False,1e-12,,2.1240000000000003e-06,0.47000000000000003,0.37879185300802104,-1.1426594804719456e-08,7.527988373452815e-05,8.320005450503031e-07
F75S,False,1e-12,,2.126e-06,0.47000000000000003,0.3787703007427309,-1.0125670485432908e-08,7.527992594405393e-05,8.321955329910194e-07
F75S,False,1e-12,,2.128e-06,0.47000000000000003,0.3787511858301805,-8.989242064950428e-09,7.527996546102484e-05,8.323685231194456e-07
F75S,False,1e-12,,2.13e-06,0.47000000000000003,0.3787342326002709,-7.963987844735877e-09,7.52799984267927e-05,8.325218973897983e-07
F75S,False,1e-12,,2.132e-06,0.47000000000000003,0.378719196588774,-7.072023652212375e-09,7.528002974575792e-05,8.326579780097641e-07
F75S,False,1e-12,,2.1340000000000002e-06,0.47000000000000003,0.3787058609586464,-6.26360647544807e-09,7.528005544116733e-05,8.327786190968524e-07
F75S,False,1e-12,,2.136e-06,0.47000000000000003,0.3786940334210254,-5.563931145604109e-09,7.528008031141873e-05,8.328856664920395e-07
F75S,False,1e-12,,2.138e-06,0.47000000000000003,0.3786835434115825,-4.926078297335971e-09,7.528010028779907e-05,8.329805602047106e-07
F75S,False,1e-12,,2.14e-06,0.47000000000000003,0.3786742396794534,-4.377653831755115e-09,7.528012008645621e-05,8.330647696342715e-07
F75S,False,1e-12,,2.1400000000000003e-06,0.47000000000000003,0.3786742396794534,-4.377653831755004e-09,7.528012008645621e-05,8.330647696342715e-07
F75S,False,1e-12,,2.142e-06,0.47000000000000003,0.3786659880584422,-3.873967179481091e-09,7.528013556464685e-05,8.3313941030846e-07
F75S,False,1e-12,,2.144e-06,0.47000000000000003,0.37865866957851885,-3.444512743856614e-09,7.528015137343027e-05,8.332056553180629e-07
F75S,False,1e-12,,2.1460000000000003e-06,0.47000000000000003,0.37865217870213164,-3.046363643385043e-09,7.528016331333788e-05,8.332643648374294e-07
F75S,False,1e-12,,2.148e-06,0.47000000000000003,0.37864642184782704,-2.710490661189647e-09,7.528017598404496e-05,8.333164783003735e-07
F75S,False,1e-12,,2.15e-06,0.47000000000000003,0.3786413159973029,-2.3953598629645104e-09,7.528018514087084e-05,8.333626563349595e-07
F75S,False,1e-12,,2.152e-06,0.47000000000000003,0.37863678754138796,-2.133096051976916e-09,7.528019534318657e-05,8.334036537419291e-07
F75S,False,1e-12,,2.154e-06,0.47000000000000003,0.37863277117567173,-1.8832696642436495e-09,7.528020231061237e-05,8.334399746167319e-07
F75S,False,1e-12,,2.156e-06,0.47000000000000003,0.37862920899877917,-1.6789072283976943e-09,7.528021057105214e-05,8.334722274496836e-07
F75S,False,1e-12,,2.158e-06,0.47000000000000003,0.37862604963896707,-1.4804525837922229e-09,7.528021581653229e-05,8.335007944779598e-07
F75S,False,1e-12,,2.16e-06,0.47000000000000003,0.3786232475539791,-1.3216324040933651e-09,7.52802225496224e-05,8.335261689615227e-07
F75S,False,1e-12,,2.1620000000000002e-06,0.47000000000000003,0.37862076233316877,-1.1635884062068376e-09,7.528022644051639e-05,8.335486370564257e-07
F75S,False,1e-12,,2.164e-06,0.47000000000000003,0.3786185581532427,-1.040591519824005e-09,7.528023197225622e-05,8.335686005924782e-07
F75S,False,1e-12,,2.166e-06,0.47000000000000003,0.3786166032243724,-9.143373504602285e-10,7.528023479756191e-05,8.335862711551452e-07
F75S,False,1e-12,,2.1680000000000002e-06,0.47000000000000003,0.37861486936840305,-8.195186190386866e-10,7.528023938422956e-05,8.336019780738413e-07
F75S,False,1e-12,,2.17e-06,0.47000000000000003,0.3786133315774307,-7.182723533829102e-10,7.528024137172672e-05,8.33615874958439e-07
F75S,False,1e-12,,2.172e-06,0.47000000000000003,0.37861196768780003,-6.456172773303919e-10,7.528024521461815e-05,8.336282334565683e-07
F75S,False,1e-12,,2.1740000000000003e-06,0.47000000000000003,0.3786107580259975,-5.640445251729546e-10,7.528024654263801e-05,8.336391619707948e-07
F75S,False,1e-12,,2.176e-06,0.47000000000000003,0.3786096851593059,-5.088221664078112e-10,7.52802498011003e-05,8.336488863769168e-07
F75S,False,1e-12,,2.178e-06,0.47000000000000003,0.37860873361144054,-4.4272569898146724e-10,7.528025061054012e-05,8.336574802375912e-07
F75S,False,1e-12,,2.18e-06,0.47000000000000003,0.37860788967096626,-4.012147753207986e-10,7.528025340868287e-05,8.33665132556965e-07
F75S,False,1e-12,,2.1800000000000003e-06,0.47000000000000003,0.37860788967096626,-4.012147753207917e-10,7.528025340868287e-05,8.33665132556965e-07
F75S,False,1e-12,,2.182e-06,0.47000000000000003,0.37860714116178046,-3.472944104697324e-10,7.528025381013366e-05,8.336718898675825e-07
F75S,False,1e-12,,2.184e-06,0.47000000000000003,0.37860647729909563,-3.165682743601595e-10,7.528025624667027e-05,8.336779119545433e-07
F75S,False,1e-12,,2.186e-06,0.47000000000000003,0.37860588850374105,-2.722270802361942e-10,7.528025632706785e-05,8.336832247833253e-07
F75S,False,1e-12,,2.188e-06,0.47000000000000003,0.3786053662942101,-2.4998245068365573e-10,7.528025847903372e-05,8.336879645481201e-07
F75S,False,1e-12,,2.19e-06,0.47000000000000003,0.3786049031335602,-2.1317819921780625e-10,7.528025830710774e-05,8.336921410687248e-07
F75S,False,1e-12,,2.192e-06,0.47000000000000003,0.37860449235097443,-1.9760438662982184e-10,7.528026023500817e-05,8.336958719786802e-07
F75S,False,1e-12,,2.194e-06,0.47000000000000003,0.3786041280177502,-1.6672883763083388e-10,7.528025986456018e-05,8.336991551077602e-07
F75S,False,1e-12,,2.1960000000000002e-06,0.47000000000000003,0.37860380488721573,-1.564016968164611e-10,7.528026161613812e-05,8.337020921574893e-07
F75S,False,1e-12,,2.198e-06,0.47000000000000003,0.37860351829330063,-1.3019221827512078e-10,7.528026108969854e-05,8.33704672329327e-07
F75S,False,1e-12,,2.2e-06,0.47000000000000003,0.3786032641110506,-1.2399003175952073e-10,7.528026270291255e-05,8.33706985063539e-07
F75S,False,1e-12,,2.2020000000000003e-06,0.47000000000000003,0.37860303866981126,-1.0145120762874218e-10,7.528026205346592e-05,8.33709012600221e-07
F75S,False,1e-12,,2.204e-06,0.47000000000000003,0.3786028387253783,-9.849322534210845e-11,7.528026355758682e-05,8.337108340164563e-07
F75S,False,1e-12,,2.206e-06,0.47000000000000003,0.37860266138828735,-7.884386554979022e-11,7.528026281161333e-05,8.337124266991624e-07
F75S,False,1e-12,,2.2080000000000003e-06,0.47000000000000003,0.3786025041072959,-7.843712599042581e-11,7.528026422982866e-05,8.337138614456693e-07
F75S,False,1e-12,,2.21e-06,0.47000000000000003,0.3786023646091082,-6.106106178587671e-11,7.528026340779778e-05,8.33715112333818e-07
F75S,False,1e-12,,2.212e-06,0.47000000000000003,0.37860224088870803,-6.26593384016503e-11,7.528026475862152e-05,8.337162430043025e-07
F75S,False,1e-12,,2.2140000000000003e-06,0.47000000000000003,0.37860213115664365,-4.707272595755232e-11,7.528026387689777e-05,8.337172250779727e-07
F75S,False,1e-12,,2.216e-06,0.47000000000000003,0.3786020338356897,-5.024822797699616e-11,7.528026517474303e-05,8.337181162201538e-07
F75S,False,1e-12,,2.218e-06,0.47000000000000003,0.3786019475170436,-3.607041810097003e-11,7.528026424585565e-05,8.337188868774676e-07
F75S,False,1e-12,,2.22e-06,0.47000000000000003,0.3786018709620871,-4.048453844726675e-11,7.528026550211709e-05,8.337195897618631e-07
F75S,False,1e-12,,2.222e-06,0.47000000000000003,0.37860180306156455,-2.741598415701799e-11,7.528026453621066e-05,8.337201941630333e-07
F75S,False,1e-12,,2.2240000000000002e-06,0.47000000000000003,0.37860174284128134,-3.2804299062912416e-11,7.528026575930566e-05,8.337207487228918e-07
F75S,False,1e-12,,2.226e-06,0.47000000000000003,0.37860168942880223,-2.0608180000527234e-11,7.528026476439893e-05,8.337212226820879e-07
F75S,False,1e-12,,2.228e-06,0.47000000000000003,0.3786016420589732,-2.676164906720138e-11,7.528026596193195e-05,8.337216605080516e-07
