frequency_hz,branch_transfer_real_ohm,branch_transfer_imag_ohm
133352.1432163338,-77358.80528171615,1165.1762032913784
137246.09610075763,-77357.78630009535,1199.1844883296517
141253.7544622769,-77356.70696867318,1234.1844381200576
145378.4385607677,-77355.56371502338,1270.2048840480588
149623.56560944492,-77354.35275543066,1307.275488062315
153992.65260595083,-77353.07008240191,1345.4267659085226
158489.31924611304,-77351.71145169507,1384.6901109398268
163117.29092278559,-77350.27236799091,1425.0978185458534
167880.40181225786,-77348.7480704379,1466.6831111580539
172782.59805078822,-77347.13351668959,1509.4801638931376
177827.94100389423,-77345.42336661165,1553.5241307907381
183020.61063110761,-77343.61196452462,1598.8511716978012
188364.90894898213,-77341.69332072258,1645.4984797710608
193865.26359522287,-77339.66109175113,1693.5043096222953
199526.23149689016,-77337.50855970345,1742.9080060948863
205352.5026457169,-77335.22861008781,1793.7500336925868
211348.90398366703,-77332.81370849602,1846.0720066471783
217520.4034019547,-77330.25587602501,1899.9167196223261
223872.11385683648,-77327.54666317112,1955.3281790615388
230409.29760558717,-77324.67712206596,2012.3516351800363
237137.37056616822,-77321.63777731033,2071.0336145747415
244061.90680420081,-77318.41859528629,2131.421953442894
251188.64315096088,-77315.00895095416,2193.5658314538596
258523.48395622204,-77311.39759352687,2257.5158061690418
266072.505979884,-77307.57261007141,2323.323848040418
273841.96342643927,-77303.52138621577,2391.0433760168926
281838.29312644864,-77299.23056567063,2460.729293611527
290068.11986931873,-77294.6860065923,2532.438025523299
298538.26189179946,-77289.87273610248,2606.2275546791525
307255.7365267483,-77284.77490155035,2682.1574597480258
316227.7660168417,-77279.3757193465,2760.2889530113675
325461.7834980498,-77273.65742102818,2840.684918548799
334965.4391578317,-77267.60119578885,2923.4099507293286
344746.6065731536,-77261.18713037904,3008.530392853843
354813.3892335798,-77254.39414468159,3096.114376001368
365174.1272548422,-77247.19992474123,3186.2318578267304
375837.4042884488,-77239.58085119854,3278.9546613747643
386812.054633057,-77231.51192399547,3374.356513714007
398107.1705535022,-77222.96668270437,3472.5130843119387
409732.10981354665,-77213.91712319935,3573.5020229262577
421696.5034285876,-77204.33360815962,3677.4029970960846
434010.26364474936,-77194.1847743202,3784.2977287556005
446683.59215096885,-77183.4374330047,3894.2700301228097
459726.9885308781,-77172.05646682065,4007.40583833535
473151.2589614866,-77160.00471949493,4123.79324891279
486967.5251658694,-77147.24288013851,4243.522547641211
501187.23362727877,-77133.72936127249,4366.68624065843
515822.16507231235,-77119.42017049895,4493.379082429447
530884.4442309953,-77104.26877491699,4623.698101372688
546386.5498818613,-77088.22595866624,4757.742622707011
562341.3251903565,-77071.23967294252,4895.61428818264
578761.9883491283,-77053.25487819358,5037.417072280049
595662.1435290184,-77034.21337789691,5183.257294466536
613055.7921498289,-77014.05364442014,5333.243626899572
630957.3444802017,-76992.71063543705,5487.487097212459
649381.63157622,-76970.11560172259,5646.101085630502
668343.9175686237,-76946.1958845756,5809.201316001552
687859.9123088169,-76920.8747045567,5976.9058397367635
707945.7843841475,-76894.07093883108,6149.335012293065
