candidate,frequency_hz,zout_real_ohm,zout_imag_ohm
R75,3162277.6601684312,6048.947692215285,-759.1464203534955
R75,3254617.8349805125,6043.39400255963,-780.5964123756487
R75,3349654.391578332,6037.522349763461,-802.6095272769268
R75,3447466.065731551,6031.315213041802,-825.1967300863438
R75,3548133.8923358135,6024.754187787202,-848.3688454916085
R75,3651741.272548438,6017.819950817828,-872.136517165665
R75,3758374.042884505,6010.492225497789,-896.5101633237795
R75,3868120.546330587,6002.749746919577,-921.4999282683463
R75,3981071.70553504,5994.570227366797,-947.1156296732443
R75,4097321.0981354844,5985.930322307339,-973.3667013546922
R75,4216965.034285894,5976.805597201095,-1000.2621312742492
R75,4340102.636447512,5967.170495443967,-1027.8103945185112
R75,4466835.921509706,5956.998307810201,-1056.019381003952
R75,4597269.885308799,5946.261143798697,-1084.8963176606276
R75,4731512.589614885,5934.929905335564,-1114.4476848591887
R75,4869675.251658713,5922.974263334928,-1144.679126859541
R75,5011872.336272808,5910.362637672739,-1175.595356079473
R75,5158221.650723144,5897.062181183594,-1207.2000510072887
R75,5308844.442309974,5883.03876834862,-1239.4957476143788
R75,5463865.498818635,5868.256989402267,-1272.4837241639748
R75,5623413.251903587,5852.680150647278,-1306.1638793603477
R75,5787619.883491306,5836.270281829331,-1340.5346038406005
R75,5956621.435290207,5818.988151485008,-1375.5926450788959
R75,6130557.921498313,5800.79329123795,-1411.3329658527016
R75,6309573.444802041,5781.644030076586,-1447.7485965112996
R75,6493816.315762226,5761.497539701821,-1484.830481391846
R75,6683439.175686263,5740.309892082542,-1522.5673198459506
R75,6878599.123088196,5718.036130398343,-1560.945402472267
R75,7079457.843841503,5694.630354580744,-1599.948443298418
R75,7286181.745132405,5670.045822684188,-1639.5574088169578
R75,7498942.093324691,5644.235069321434,-1679.7503449589913
R75,7717915.155850261,5617.150042385088,-1720.5022032789682
R75,7943282.347242957,5588.742259240328,-1761.7846678315227
R75,8175230.379436647,5558.962983513655,-1803.5659844374393
R75,8413951.416452102,5527.763423512581,-1845.8107942640142
R75,8659643.23360081,5495.094953189004,-1888.479973880189
R75,8912509.381337617,5460.909356400555,-1931.5304841852421
R75,9172759.353897963,5425.159095026007,-1974.9152308484042
R75,9440608.762859406,5387.797601249846,-2018.5829391286804
R75,9716279.51577124,5348.779594043928,-2062.478046164975
R75,10000000.000000184,5308.06141954062,-2106.540614026755
R75,10292005.271944473,5265.601414607348,-2150.706266990087
R75,10592537.251773085,5221.360292501986,-2194.9061566401383
R75,10901844.923851479,5175.301549008772,-2239.0669584929606
R75,11220184.543019842,5127.391886931406,-2283.110903864049
R75,11547819.846894797,5077.601656258347,-2326.955850678975
R75,11885022.274370406,5025.905306721351,-2370.515396811844
R75,12232071.190499544,4972.281848851957,-2413.6990393402007
R75,12589254.117941909,4916.715319015202,-2456.4123828100355
R75,12956866.97517044,4859.195243276242,-2498.55739920616
R75,13335214.321633492,4799.71709435548,-2540.0327418115885
R75,13724609.61007588,4738.282735365572,-2580.734114515219
R75,14125375.446227811,4674.900843522625,-2620.5546973870596
R75,14537843.856076894,4609.587306607283,-2659.3856284876324
R75,14962356.560944619,4542.36558463797,-2697.116540923624
R75,15399265.260595214,4473.267029036631,-2733.6361531133048
