case,relative_time_s,output_v,supply_v,supply_a,capacitor_a,load_a,nmos_drain_a,passive_output_v,passive_supply_a
R75-input_first-slow-8p,2.6237060380516377e-08,0.0020891039853934315,0.026237060380516448,3.62190820564862e-06,7.988001910230125e-07,2.0891039853934314e-08,2.802216974771684e-06,0.005460292504355679,3.11626975079023e-06
R75-input_first-slow-8p,2.664049803858671e-08,0.0021293920627106734,0.02664049803858662,3.6763763529686366e-06,7.995871675740095e-07,2.129392062710673e-08,2.855495264767532e-06,0.005615591958195332,3.153487550231798e-06
R75-input_first-slow-8p,2.7050139209611192e-08,0.0021703910615914227,0.02705013920961121,3.7316683241147154e-06,8.003145739508827e-07,2.1703910615914225e-08,2.9096498395479305e-06,0.005775112177446413,3.191002738383127e-06
R75-input_first-slow-8p,2.746607928273404e-08,0.0022120204870463207,0.027466079282734125,3.787810499629172e-06,8.010531653889208e-07,2.2120204870463203e-08,2.9646371293698e-06,0.00593895944317932,3.228813681583905e-06
R75-input_first-slow-8p,2.7888415113863487e-08,0.0022542900329136526,0.027888415113863446,3.844815952792853e-06,8.018031138767085e-07,2.2542900329136522e-08,3.0204699385870202e-06,0.006107242363560721,3.2669186171341714e-06
R75-input_first-slow-8p,2.831724504822555e-08,0.002297310206499486,0.028317245048225383,3.902682859437446e-06,8.024965872929999e-07,2.297310206499486e-08,3.0772131700794602e-06,0.006280071910677157,3.3053156511540347e-06
R75-input_first-slow-8p,2.8752668943264628e-08,0.002341034087445971,0.028752668943264652,3.9614332344994885e-06,8.031722132648111e-07,2.341034087445971e-08,3.134850680360221e-06,0.006457561457370206,3.344002756493619e-06
R75-input_first-slow-8p,2.9194788191896412e-08,0.0023854302944790735,0.029194788191896383,4.021086992538928e-06,8.038582280894829e-07,2.3854302944790734e-08,3.193374461504652e-06,0.00663982681405627,3.382977770698043e-06
R75-input_first-slow-8p,2.964370574611842e-08,0.0024305091657105702,0.029643705746118427,4.08165802454465e-06,8.045547915125973e-07,2.43050916571057e-08,3.252798141374939e-06,0.006826986265503289,3.4222383940329163e-06
R75-input_first-slow-8p,3.009952614098334e-08,0.002476411269599347,0.03009952614098324,4.143140925931346e-06,8.05189499631708e-07,2.4764112695993472e-08,3.3131873136036333e-06,0.007019160607535434,3.4617821875745665e-06
R75-input_first-slow-8p,3.0562355518940674e-08,0.002523038111350716,0.03056235551894076,4.20556638986838e-06,8.058234131547993e-07,2.523038111350716e-08,3.3745125956000607e-06,0.007216473183636078,3.5016065713711693e-06
R75-input_first-slow-8p,3.103230165455383e-08,0.0025703819169526935,0.031032301654553986,4.268951747277055e-06,8.064670741337207e-07,2.5703819169526933e-08,3.436780853973792e-06,0.007419049921419041,3.5417088226795376e-06
R75-input_first-slow-8p,3.1509473979596095e-08,0.002618453710895546,0.03150947397959613,4.333311758087352e-06,8.071206324515266e-07,2.6184537108955463e-08,3.5000065885268525e-06,0.007627019368935581,3.582086074283782e-06
R75-input_first-slow-8p,3.1993983608532894e-08,0.0026673939552528413,0.03199398360853277,4.3986420205047496e-06,8.077278913712456e-07,2.6673939552528414e-08,3.564240189580962e-06,0.00784051273078536,3.622735312901109e-06
