candidate,frequency_hz,gain_real,gain_imag
A37,1412537.5446227754,-3.6270268075227428,2.935206958651536
A37,1453784.3856076836,-3.5439412415079348,2.951784413167821
A37,1496235.6560944559,-3.4599817970829383,2.966078892171642
A37,1539926.526059515,-3.3752757400028512,2.9780332473468674
A37,1584893.1924611374,-3.2899551003444403,2.9875991737771748
A37,1631172.909227863,-3.204155877961374,2.994737680243535
A37,1678804.0181225857,-3.1180171940211947,2.999419473735823
A37,1727825.9805078898,-3.0316803995807784,3.001625251181831
A37,1778279.41003895,-2.9452881531712736,3.001345893020937
A37,1830206.106311084,-2.858983480096923,2.998582555023976
A37,1883649.0894898295,-2.7729088265923414,2.9933466566464757
A37,1938652.6359522373,-2.687205122094145,2.9856597661239923
A37,1995262.3149689105,-2.602010862703216,2.9755533844609348
A37,2053525.026457178,-2.517461228407185,2.9630686323285933
A37,2113489.0398366796,-2.433687245815555,2.9482558456124157
A37,2175204.0340195564,-2.350815007117511,2.931174086947055
A37,2238721.1385683743,-2.268964954676496,2.9118905819369543
A37,2304092.9760558815,-2.18825123918642,2.8904800898581806
A37,2371373.705661692,-2.1087811577488353,2.8670242195370097
A37,2440619.0680420185,-2.03065467649661,2.8416107016093646
A37,2511886.4315096196,-1.9539640407210825,2.814332628707174
A37,2585234.8395622317,-1.8787934737385061,2.785287675087859
A37,2660725.059798852,-1.8052189641188008,2.754577306982746
A37,2738419.6342644054,-1.7333081393973404,2.7223059944694175
A37,2818382.931264499,-1.6631202229954933,2.688580434942358
A37,2900681.1986932005,-1.5947060698934643,2.653508797416383
A37,2985382.618918008,-1.5281082755920474,2.617199995908471
A37,3072557.365267497,-1.4633613520616169,2.57976299900858
A37,3162277.6601684312,-1.4004919637882298,2.54130618163213
A37,3254617.8349805125,-1.339519216610805,2.501936723768142
A37,3349654.391578332,-1.2804549918113706,2.461760059856718
A37,3447466.065731551,-1.2233043178785903,2.4208793813140095
A37,3548133.8923358135,-1.1680657724821457,2.379395193676998
A37,3651741.272548438,-1.1147319074186945,2.3374049288166043
A37,3758374.042884505,-1.063289689683813,2.295002611848916
A37,3868120.546330587,-1.0137209522392883,2.252278581522525
A37,3981071.70553504,-0.9660028486041685,2.2093192622682047
A37,4097321.0981354844,-0.9201083059356967,2.1662069854740937
A37,4216965.034285894,-0.8760064718972447,2.123019857172587
A37,4340102.636447512,-0.8336631511936266,2.07983166892428
A37,4466835.921509706,-0.7930412282894774,2.0367118485068754
A37,4597269.885308799,-0.754101073395596,1.9937254468155898
A37,4731512.589614885,-0.7168009293912287,1.9509331573562507
A37,4869675.251658713,-0.6810972778687582,1.9083913646864015
A37,5011872.336272808,-0.6469451829845173,1.8661522182418038
A37,5158221.650723144,-0.6142986122407621,1.824263728090635
A37,5308844.442309974,-0.5831107337206044,1.7827698793071765
A37,5463865.498818635,-0.5533341896528485,1.7417107618560927
A37,5623413.251903587,-0.5249213464806026,1.7011227130684525
A37,5787619.883491306,-0.49782452186699166,1.661038470018604
