candidate,index,condition,role,numerical_usable,terminal_supported,out_v,error_v,gain,band_min_magnitude,band_max_magnitude,bandwidth_hz,current_a,power_w,dc_ac_current_pass,sine_assessed,sine_thd_fraction,sine_gain,sine_min_v,sine_max_v,sine_stationary,sine_all_assessed_pass,predicted_out_v,realization_id,attempt_sha256
A37,120,supply_097,CONFIRMATION,True,True,0.526704485107571,0.026704485107570952,-5.8471691417992515,5.837704216373555,5.847170091931146,1755115.500932398,3.618340437551905e-05,3.5097715433844525e-05,False,False,,,,,,,0.5292976958499946,b9b638f9f53f351919b12111181915d89bae8ab38aa625e5d0ef014d647b5742,73036cba83b04f2d1b6c9908816dae58a1827fc6a063bb070eaf3341008e9b4e
A37,121,nominal,CONFIRMATION,True,True,0.5119620754497187,0.011962075449718723,-6.0559798623331575,6.046153916812436,6.055980848699311,1753053.3512234124,3.7933079249604076e-05,3.793286048867984e-05,True,False,,,,,,,0.5122905463855243,c6f5e6484099def158a66e43e5a522730e2c05cd2361fff4d24e834c05cdcb61,cce8ac08566d7cc932b2defe3a52b1c03fc73e52b99a172144091fce3e40dfec
A37,121,supply_097,CONFIRMATION,True,True,0.4510995401724856,-0.0489004598275144,-6.083904799754744,6.0739258177752165,6.083905801549966,1743555.0643457607,3.60352614065167e-05,3.495399542415524e-05,False,False,,,,,,,0.4523445956780158,c6f5e6484099def158a66e43e5a522730e2c05cd2361fff4d24e834c05cdcb61,eea2aebf038b420f755d1d02036cef029f18567308ba1f1802ea6ec5c350597e
A37,122,nominal,CONFIRMATION,True,True,0.6380151091508779,0.1380151091508779,-5.814304124594995,5.805413316488122,5.814305016925587,1805921.6476589278,3.854329796418746e-05,3.854309604802259e-05,False,False,,,,,,,0.6366823462955107,adbf936919ae9cdda5e2f75c4322118356f5a4e7a56db8f2d5b20cd6547b0444,1d188cd6690fe87b4cc03d2488da0b5d5bc729933081cd4074587ad6a1164ba9
A37,122,supply_097,CONFIRMATION,True,True,0.5748485683016002,0.07484856830160025,-5.8926796861679644,5.883411012426438,5.892680616506671,1780625.3398085074,3.662486934906151e-05,3.552592647031552e-05,False,False,,,,,,,0.5767363955880023,adbf936919ae9cdda5e2f75c4322118356f5a4e7a56db8f2d5b20cd6547b0444,85cd9c765d331d91a545155da4e1c0331bf315bb160b1869daca2e139dc25dad
A37,123,nominal,CONFIRMATION,True,True,0.37502386653462094,-0.12497613346537906,-6.197936373750963,6.1876457953221875,6.197937406894807,1732988.6719308763,3.677261894755774e-05,3.67723884279774e-05,False,False,,,,,,,0.37524120384733106,5bf72c30a4014de3fcbfd59b0d42be29ddaa84e9c9f631507aa809cdc1802bef,a9fbcf4ecbf34932ff50ea7fbdae1ffa6ee5f17f5baef8b0b8f10a0da9b4db7e
A37,123,supply_097,CONFIRMATION,True,True,0.3175752350654434,-0.18242476493455662,-6.19032974895917,6.180051303903818,6.190330780919672,1732946.991061952,3.490663142947622e-05,3.3859211493320526e-05,False,False,,,,,,,0.3152952531398226,5bf72c30a4014de3fcbfd59b0d42be29ddaa84e9c9f631507aa809cdc1802bef,880e357cbe19414ff1f8b3de06544882388ee0ac00314786f58ff26443c634ce
A37,124,nominal,CONFIRMATION,True,True,0.5355913518287667,0.035591351828766715,-5.9847577903169995,5.975097082248535,5.984758760075613,1757568.6608339266,3.799182007576219e-05,3.799160786607586e-05,False,False,,,,,,,0.5383651424991331,f568e5bef035e3d8e5b91539eb62a07e47ea84a9adc35db143b429867be8b252,b567c9a1671436eef58c6f0d47a239f2907d0b51f72a237144bcec849c251b54
A37,124,supply_097,CONFIRMATION,True,True,0.47444321809898915,-0.02555678190101085,-6.0173591186429665,6.007523697199168,6.017360106008602,1746602.9491610497,3.609126576241548e-05,3.500832526119414e-05,False,False,,,,,,,0.4784191917916247,f568e5bef035e3d8e5b91539eb62a07e47ea84a9adc35db143b429867be8b252,5fa577974c8f01b3dd362cf643719a87bfd714bfb96b04834945459d1f5853f8
A37,125,nominal,CONFIRMATION,True,True,0.4641535464345705,-0.03584645356542948,-6.110409569304604,6.100386730942255,6.110410575491488,1743521.794677915,3.75362341971441e-05,3.7536010763556944e-05,False,False,,,,,,,0.46489886094725713,133041a0e8f8520553ced8e97ec534f9407d1df9b11b3c31f123add3eb6c7b34,6ed6904dba3e7d2e57aac3ab17ca6e52f23b7bd0632a5a774aa30264ababd7d2
